state,activity,rfc,name,address,legal_rep,phone,email,address2,phone2,zip,city
JALISCO,A,AAA9007035A9,"Albergue para Ancianos de Autlán, A.C.","Leandro Valle Núm 13, Col. Centro, C.P. 48900, Autlán de Navarro, Jalisco",Victoria Cruz Camacho,3173821428,,,,48900,Autlán de Navarro
JALISCO,A,CDA9910138E3,"Casa de Descanso para Ancianos Desamparados, A.C","Av. José María Martínez Núm 1375, Col. Centro, C.P. 49650, Tamazula de Gordiano, Jalisco",Ma. de la Luz Sánchez Madrigal,134163918,,,,49650,Tamazula de Gordiano
JALISCO,B,CDL7507105XA,"Colegio Doctor Luis Gómez Preciado, A.C.","Portal Heroes Núm 2, Col. Tenamaxtlan, C.P. 48570, Tenamaxtlán, Jalisco",Jorge Brambila López,3487750021,Icp_miguel@hotmail.com,,,48570,Tenamaxtlán
JALISCO,A,CIT960920NCA,"Centro de Integración Tapalpa, A.C.","Salto del Nogal Núm 100, C.P. 49340, Tapalpa, Jalisco",Patricia Villa Lever,1336156696,citac96@hotmail.com,,,49340,Tapalpa
JALISCO,A,CNC901105QW6,"Casa de Niños Corazón de Ángel, A.C.","Gómez Farías Núm 230, Col. Solidaridad, C.P. 49097, Ciudad Guzman, Jalisco",Gabriela María del Carmen Pérez Bándala,3414135892,,,,49097,Ciudad Guzman
JALISCO,B,CST900228NF7,"Colegio Sierra de Tapalpa, A.C.","Fco. I. Madero Núm 246, Col. Centro, C.P. 49340, Tapalpa, Jalisco",Rosa Micaela Váquez Amabilis,3434320146,,,,49340,Tapalpa
JALISCO,A,CHM070619VA6,"Casa Hogar Mi Pequeña Familia, A.C.","Alameda Núm 100, C.P. 49300, Sayula, Jalisco",Judith Betzabeth De la Vara Bustamante,3414124059,mipequenafamilia@hotmail.com.,,,49300,Sayula
JALISCO,M,CHM070619VA6,"Casa Hogar Mi Pequeña Familia, A.C.","Alameda Núm 100, C.P. 49300, Sayula, Jalisco",Judith Betzabeth De la Vara Bustamante,3414124059,mipequenafamilia@hotmail.com.,,,49300,Sayula
JALISCO,A,FHA101220VB7,Fundación Humvascular Alem,"Miguel Hidalgo Núm 224, Col. Centro, C.P. 49000, Zapotlán del Rey, Jalisco",Guillermo Ramón Aguilar Peralta,3414125357,fundacion@humvascularalem.org,,,49000,Zapotlán del Rey
JALISCO,A,GVI991217920,"Gotitas de Vida, A.C.","Guzmán Núm 66 Nte., Col. Centro, C.P. 49650, Tamazula de Gordiano, Jalisco",Luisa Mireya Carbonell Areaza,3584160704,,,,49650,Tamazula de Gordiano
JALISCO,A,HND961016BY6,"Hogar del Niño Desprotegido San Isidro, A.C.","Mariano Escobedo Núm 54, Col. Centro, C.P. 48900, Autlán de Navarro, Jalisco",Isidro Ramírez Castellón,(01338) 231 14,,,,48900,Autlán de Navarro
JALISCO,A,JOS080118NY9,"JOSIC, A.C.","1 de Mayo Núm 427, Col. Centro, C.P. 49000, Ciudad Guzman, Jalisco",María de Lourdes Galindo Salcedo,341 41 3 32 03,lourdesga15@hotmail.com,,,49000,Ciudad Guzman
JALISCO,A,NEI140620TK1,"Nada es Imposible para Dios, A.C.","Ferrocarril Norte Núm 17, Col. Centro, C.P. 49800, Tuxpan, Jalisco",Alberto Basurto Cervantes,3338102389,megacom_gdl@hotmail.com,,,49800,Tuxpan
JALISCO,M,NEI140620TK1,"Nada es Imposible para Dios, A.C.","Ferrocarril Norte Núm 17, Col. Centro, C.P. 49800, Tuxpan, Jalisco",Alberto Basurto Cervantes,3338102389,megacom_gdl@hotmail.com,,,49800,Tuxpan
JALISCO,F,PNC9805151I3,"Patronato del Nevado de Colima y Cuencas Adyacentes, A.C.","Primero de Mayo Núm 126 - 10, Col. Centro, C.P. 49000, Ciudad Guzman, Jalisco",Juan Carlos Romo Peña Juan Manuel Guzmán Silva,3414134020,,,,49000,Ciudad Guzman
JALISCO,M,PNC9805151I3,"Patronato del Nevado de Colima y Cuencas Adyacentes, A.C.","Primero de Mayo Núm 126 - 10, Col. Centro, C.P. 49000, Ciudad Guzman, Jalisco",Juan Carlos Romo Peña Juan Manuel Guzmán Silva,3414134020,,,,49000,Ciudad Guzman
JALISCO,B,PTE541008GM3,"Patronato de Tecolotlán, A.C.","Constitución Núm 145, C.P. 48540, Tecolotlán, Jalisco",Miguel Villalpando Estrella,3497760410,lcp_miguel@hotmail.com,,,48540,Tecolotlán
JALISCO,A,AAA110314MX0,"Alivio al Alma, A.C.","Monte Parnaso Núm 2315 - 1, Col. Oblatos, C.P. 44700, Guadalajara, Jalisco",Leticia Bernaga Soto,33369987,alivio.al.alma@gmail.com,,,44700,Guadalajara
JALISCO,A,AAJ1104132X1,"Albergue para Amigos de Juanita y Fernando, A.C.","Belisario Domínguez Núm 404, Col. La Perla, C.P. 44360, Guadalajara, Jalisco",Juana González Muñoz,,,,,44360,Guadalajara
JALISCO,I,ACN930102E84,"AMSIF Coordinación Nacional, A.C.","Justo Sierra Núm 2198, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",Blanca Margarita Felix Gaxiola,01 668 818-95-76,,,,44600,Guadalajara
JALISCO,B,ACU550420CD8,"Acción Cultural, A.C.","Pedro Loza Núm 459, Col. El Santuario, C.P. 44200, Guadalajara, Jalisco",María del Refugio Rosales Hueso,36 13 64 73,,"Aurelio L. Gallardo Núm 743, Col. Ladrón de Guevara, C.P. 44600, Guadalajara, Jalisco",36 41 32 12,44200,Guadalajara
JALISCO,A,ACH8911232F4,"Amor Casa Hogar, A.C.","Manuel Acuña Núm 388, Col. Centro, C.P. 44100, Guadalajara, Jalisco",Maria de la Luz Guardado Alvarez,36141088,edgardopaul_hotmail.com,,,44100,Guadalajara
JALISCO,A,ADC840312RJ1,"Asociación Deportiva, Cultural y Recreativa Silente de Jalisco, A.C.","Av. de los Maestros Núm 1031, Col. Barranquita Alcalde, C.P. 44280, Guadalajara, Jalisco",Aida Araceli Arámburo Osuna,3336141776,,,,44280,Guadalajara
JALISCO,A,ADM101206L93,"Asociación de Desarrollo y Mejoramiento Social Integral, A.C.","Perdiz Núm 1221, Col. Morelos, C.P. 44910, Guadalajara, Jalisco",José de Jesús Pérez Ochoa,,,,,44910,Guadalajara
JALISCO,A,ADM960402JE0,"Asociación de Distrofia Muscular de Occidente, A.C.","Ramón Morales Núm 284, Col. Sector Libertad, C.P. 44380, Guadalajara, Jalisco",Luz Clementina Hernández Madera,36 17 31 14,,,,44380,Guadalajara
JALISCO,M,ADM960402JE0,"Asociación de Distrofia Muscular de Occidente, A.C.","Ramón Morales Núm 284, Col. Sector Libertad, C.P. 44380, Guadalajara, Jalisco",Luz Clementina Hernández Madera,36 17 31 14,,,,44380,Guadalajara
JALISCO,A,AEG1507286XA,"Albergue Ezequiel Gutierrez Martín, A.C.","Av. Doctor Carlos Canseco González Núm 710, Col. Fracc. Los Sauces, C.P. 47660, Tepatitlán de Morelos, Jalisco",Ezequiel Gutiérrez Martín,,,,,47660,Tepatitlán de Morelos
