ID|Donation Type|Quantity|NGO
1| OTHER|6|Penatibus Et Institute
2| TOOLS |2|Dui Fusce Diam PC
3| TOOLS |4|Ut Quam Company
4|FOOD |9|Aliquam LLP
5|FOOD |2|Lobortis Limited
6| TOOLS |2|Luctus Aliquet Odio Foundation
7|FOOD |7|Risus Nunc Ac Industries
8| MEDICINE |10|Sodales At PC
9| MEDICINE |10|Nulla Vulputate Ltd
10| OTHER|4|Phasellus At Corp.
11| TOOLS |10|Morbi Quis Urna PC
12| OTHER|10|Dapibus LLP
13| OTHER|5|Fusce Fermentum Industries
14| MONEY |8|Est Congue LLC
15| TOOLS |6|Mattis Velit Limited
16|FOOD |8|Eu Lacus Quisque Industries
17| MEDICINE |9|Vel Foundation
18| MEDICINE |10|Nec LLP
19| MONEY |5|Mi Pede Nonummy PC
20| MONEY |2|Aliquam Eu Company
21| OTHER|3|Sit Amet Lorem Institute
22| OTHER|8|Vestibulum Ante Inc.
23| MEDICINE |2|Magna PC
24| TOOLS |10|Erat Volutpat Nulla Consulting
25|FOOD |4|Vulputate Company
26| OTHER|1|Amet Ante Vivamus Industries
27| MEDICINE |7|Convallis Ligula Consulting
28| OTHER|2|Imperdiet Dictum Magna Corporation
29| TOOLS |10|Tincidunt Nibh Company
30| OTHER|4|Nam Ac Limited
31| OTHER|3|Dolor Vitae Dolor Corp.
32|FOOD |1|Orci Ut PC
33| MONEY |10|Faucibus Lectus Institute
34| OTHER|3|Laoreet Incorporated
35| OTHER|5|Sit LLP
36|FOOD |10|Amet Incorporated
37| TOOLS |4|Magnis Foundation
38| MONEY |2|Iaculis Consulting
39| OTHER|6|Adipiscing Ltd
40| MONEY |1|Ut Mi Duis Associates
41| MONEY |5|At Arcu Vestibulum PC
42| OTHER|8|Eleifend Ltd
43| OTHER|5|Aliquam Adipiscing Lobortis Associates
44| OTHER|9|Sed Sapien Nunc LLC
45| MEDICINE |6|Ante LLC
46| MONEY |7|Lacus LLP
47| MEDICINE |1|Auctor Inc.
48| MEDICINE |3|Proin Mi Corporation
49| OTHER|7|Eu Accumsan Incorporated
50| MONEY |5|Auctor Velit Inc.
51| MEDICINE |2|Tellus Lorem Eu PC
52| TOOLS |4|A Arcu Company
53| MONEY |7|Massa Consulting
54| OTHER|3|Dolor LLC
55|FOOD |3|Dis Company
56| MEDICINE |10|Scelerisque Sed Ltd
57|FOOD |3|Condimentum Donec At Corporation
58| MEDICINE |10|Quisque Varius Nam Consulting
59|FOOD |2|Et Netus Et Corporation
60|FOOD |9|Donec Institute
61| MEDICINE |4|Sem Consequat Nec Limited
62|FOOD |8|In Condimentum Associates
63| MEDICINE |9|Sed Pharetra LLC
64| MONEY |1|Bibendum LLP
65| MONEY |4|Iaculis Odio Nam Company
66| MONEY |8|Neque Nullam Nisl Company
67| OTHER|2|Ipsum Suspendisse Institute
68| OTHER|9|Imperdiet Ornare Incorporated
69| MEDICINE |3|Sed Nunc Industries
70| MEDICINE |3|Pharetra Nibh Aliquam PC
71| MEDICINE |9|Cras Vulputate Consulting
72| TOOLS |8|Non Consulting
73| MONEY |5|Semper LLP
74|FOOD |3|Id Blandit Inc.
75|FOOD |8|Nam Consulting
76| OTHER|6|Non Dapibus Institute
77| MONEY |10|Pede Et Risus Industries
78| TOOLS |9|Velit Eu Limited
79| TOOLS |5|Sagittis Augue Eu Consulting
80| MEDICINE |5|Convallis Ante Lectus LLP
81| OTHER|4|Bibendum Fermentum Ltd
82| OTHER|1|Pellentesque Corp.
83| OTHER|4|Ut Nisi Company
84| MEDICINE |4|Volutpat Limited
85| MONEY |8|Purus PC
86| MONEY |4|Congue Ltd
87| MONEY |8|Velit Industries
88| MEDICINE |5|Natoque Penatibus PC
89|FOOD |8|Fusce Associates
90| MEDICINE |1|Nec Ante Corp.
91| MEDICINE |5|At Libero Morbi Inc.
92| MONEY |6|Eu Placerat Foundation
93|FOOD |8|Elit Pellentesque Corp.
94| MEDICINE |4|Cursus A Enim Foundation
95| MONEY |1|Amet Risus Corporation
96|FOOD |1|Dis Associates
97| OTHER|6|Quam Consulting
98| OTHER|9|Fusce Aliquam Consulting
99|FOOD |8|Enim Sit Consulting
100|FOOD |10|Et Magnis Company
